title;start;CES_parameters;slurmConfig;regionmapping;extramappings_historic;cm_rcp_scen;subsidizeLearning;cm_prtpScen;capitalMarket;cm_iterative_target_adj;cm_budgetCO2from2020;carbonprice;cm_budgetCO2_absDevTol;cm_taxCO2_functionalForm;cm_taxCO2_startyear;cm_peakBudgYr;cm_taxCO2_regiDiff;cm_taxCO2_regiDiff_endYr;cm_taxCO2_IncAfterPeakBudgYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;c_earlyRetiValidYr;c_addBOFDeltaCap;c_addBOFDeltaCap_constr_only;cm_inco0Factor;cm_lifetime;c_changeBFBOF_params;c_addSteelGovTargetsFossil;cm_addSteelGovTargetsAllTech;c_limitBioSolidsCHA;cm_maxProdBiolc;cm_PriceDurSlope_elh2;cm_incolearn;cm_fetaxscen;cm_bioenergy_SustTax;cm_33EW;cm_33OAE;cm_frac_NetNegEmi;c_ccsinjecratescen;c_ccscapratescen;cm_CESMkup_build;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_GDPpopScen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;c_changeProdCost;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
PolicyExtended_lowBio-PkBudg820;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;820;functionalForm;;;75;2080;;;8;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;100;;;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended-NPi;;PolicyExtended-NPi;PolicyExtended_lowBio-PkBudg820: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
GreenPolicy_noReliningForSomeRegions_lowBio-PkBudg820;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;820;functionalForm;;;75;2080;;;8;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001, GLO.bof 0.00001;2090;;1;;;1;0;on;1;100;;;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;GreenPolicy_noReliningForSomeRegions-NPi;;GreenPolicy_noReliningForSomeRegions-NPi;GreenPolicy_noReliningForSomeRegions_lowBio-PkBudg820: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 750 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
# MoreCCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PolicyExtended_moreCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001,GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;;1;;1;;;;;;;;;3;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;3;;;;;;Mix1;;2005;;;;;PolicyExtended_moreCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
PolicyExtended_moreCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;;100;2055;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001,GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;;1;;1;;;;;;;;;3;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended_moreCCS-NPi;;PolicyExtended_moreCCS-NPi;PolicyExtended_moreCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended_moreCCS_BFCCSEarlyReti-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;;100;2055;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001,GLO.bof 0.00001, GLO.bfcc 0.2;2090;1;;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;;1;;1;;;;;;;;;3;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended_moreCCS-NPi;;PolicyExtended_moreCCS-NPi;PolicyExtended_moreCCS_BFCCSEarlyReti-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended_moreCCS-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;;75;2080;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001,GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15, bfcc 0.8;bf 35, bof 35;;1;;1;;;;;;;;;3;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended_moreCCS-NPi;;PolicyExtended_moreCCS-NPi;PolicyExtended_moreCCS-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
# CCSinjecRatePessimistic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PolicyExtended_lessCCS-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13, GLO.bf 0.00001,GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;;;;;;;;2;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;3;;;;;;Mix1;;2005;;;;;PolicyExtended_lessCCS-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
PolicyExtended_lessCCS-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;;100;2055;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13,GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;;;;;;;;2;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended_lessCCS-NPi;;PolicyExtended_lessCCS-NPi;PolicyExtended_lessCCS-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended_lessCCS-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;;75;2080;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13,GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;;;;;;;;2;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended_lessCCS-NPi;;PolicyExtended_lessCCS-NPi;PolicyExtended_lessCCS-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
# highH2costs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PolicyExtended_expensiveH2-NPi;1,AMT,compileInTests,2;;;;;rcp45;;;;0;0;NPi;;;;;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13,GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;GLO 5;elh2 300;;;;;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi,NEU_regi;;;;;;;;;3;;;;;;Mix1;;2005;;;;;PolicyExtended_expensiveH2-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead,carbon prices are assumed to grow and converge more slowly,leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
PolicyExtended_expensiveH2-PkBudg650;1,AMT,2;;;;;rcp20;globallyOptimal;;;9;650;functionalForm;;;100;2055;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13,GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;GLO 5;elh2 300;;;;;;;;;2050.GLO 0.9;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix4ICEban;1;2030;;PolicyExtended_expensiveH2-NPi;;PolicyExtended_expensiveH2-NPi;PolicyExtended_expensiveH2-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario,peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
PolicyExtended_expensiveH2-PkBudg1000;1,AMT,2;;;;;rcp26;globallyOptimal;;;9;1000;functionalForm;;;75;2080;;;;9;;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13,GLO.bf 0.00001, GLO.bof 0.00001;2090;1;;bf 1.15, bof 1.15;bf 35, bof 35;;1;;1;;GLO 5;elh2 300;;;;;;;;;2050.GLO 0.5;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi,NEU_regi;;;;;;;;;;;;;;;Mix3ICEban;1;2030;;PolicyExtended_expensiveH2-NPi;;PolicyExtended_expensiveH2-NPi;PolicyExtended_expensiveH2-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
